Deutsch,Farsi,English,Beispielsatz,Beispielsatz_Farsi,Artikel,Plural
Seniorenheim,خانه سالمندان,retirement home,Meine Oma wohnt im Seniorenheim.,مادربزرگ من در خانه سالمندان زندگی می‌کند.,das,die Seniorenheime
Büroarbeit,کار اداری,office work,Büroarbeit kann langweilig sein.,کار اداری می‌تواند کسل‌کننده باشد.,die,die Büroarbeiten
zutreffen,صدق کردن / درست بودن,to apply / be true,Das trifft auf mich zu.,این در مورد من صدق می‌کند.,-,(Verb)
Konnektor,رابط / کلمه ربط,connector,Verwenden Sie passende Konnektoren.,از کلمات ربط مناسب استفاده کنید.,der,die Konnektoren
Privatpraxis,مطب خصوصی,private practice,Er hat eine Privatpraxis.,او یک مطب خصوصی دارد.,die,die Privatpraxen
Entbindungsstation,بخش زایمان,maternity ward,Das Baby wurde auf der Entbindungsstation geboren.,نوزاد در بخش زایمان متولد شد.,die,die Entbindungsstationen
Chirurgie,جراحی,surgery,Die Chirurgie befindet sich im 2. Stock.,بخش جراحی در طبقه دوم قرار دارد.,die,-
HNO,گوش و حلق و بینی,ENT (Ear Nose Throat),Ich habe einen Termin beim HNO-Arzt.,من یک وقت پیش دکتر گوش و حلق و بینی دارم.,-,-
Kardiologie,قلب و عروق,cardiology,Er liegt auf der Kardiologie.,او در بخش قلب و عروق بستری است.,die,-
Kinderstation,بخش کودکان,pediatric ward,Auf der Kinderstation gibt es Spielzeug.,در بخش کودکان اسباب‌بازی وجود دارد.,die,die Kinderstationen
Krankenhausplan,نقشه بیمارستان,hospital map,Auf dem Krankenhausplan finden Sie den Weg.,روی نقشه بیمارستان مسیر را پیدا می‌کنید.,der,die Krankenhauspläne
Orthopädie,ارتوپدی,orthopedics,Mein Vater muss in die Orthopädie.,پدرم باید به بخش ارتوپدی برود.,die,-
Physiotherapie,فیزیوتراپی,physiotherapy,Nach der OP brauche ich Physiotherapie.,بعد از عمل به فیزیوتراپی نیاز دارم.,die,die Physiotherapien
Besuchszeit,ساعات ملاقات,visiting hours,Die Besuchszeit endet um 20 Uhr.,ساعات ملاقات ساعت ۲۰ تمام می‌شود.,die,die Besuchszeiten
Entzündung,التهاب / عفونت,inflammation,Ich habe eine Entzündung im Hals.,من در گلو التهاب دارم.,die,die Entzündungen
heben,بلند کردن,to lift,Heben Sie den Arm.,دستتان را بلند کنید.,-,(Verb)
Herzbeschwerden,ناراحتی قلبی,heart problems,Er hat Herzbeschwerden.,او ناراحتی قلبی دارد.,-,die (Pl.)
rechte,راست,right,Der rechte Fuß tut weh.,پای راست درد می‌کند.,-,(Adj)
röntgen,رادیولوژی گرفتن / عکسبرداری کردن,to X-ray,Wir müssen den Fuß röntgen.,ما باید از پا عکسبرداری کنیم.,-,(Verb)
seit wann,از کی,since when,Seit wann haben Sie Schmerzen?,از کی درد دارید؟,-,(Phrase)
senken,کاهش دادن / پایین آوردن,to lower,Senken Sie das Gewicht langsam.,وزنه را به آرامی پایین بیاورید.,-,(Verb)
Absicherung,تأمین / ضمانت,security / safeguard,Eine gute Absicherung ist wichtig für die Zukunft.,یک تأمین خوب برای آینده مهم است.,die,-
Einkommen,درآمد,income,Er hat ein gutes Einkommen.,او درآمد خوبی دارد.,das,die Einkommen
fest,ثابت / محکم,firm / fixed,Ich habe eine feste Anstellung.,من یک شغل ثابت دارم.,-,(Adj)
sicher,مطمئن / امن,secure / safe,Nun habe ich endlich ein sicheres Einkommen.,حالا بالاخره یک درآمد مطمئن دارم.,-,(Adj)
Urlaubstag,روز مرخصی,vacation day,Wie viele Urlaubstage hast du?,چند روز مرخصی داری؟,der,die Urlaubstage
Arbeitnehmer,کارمند / حقوق‌بگیر,employee,Der Arbeitnehmer hat Rechte.,کارمند حقوقی دارد.,der,die Arbeitnehmer
betreffen,مربوط بودن / اثر گذاشتن,to concern / affect,Das betrifft uns alle.,این به همه ما مربوط می‌شود.,-,(Verb)
Entscheidung,تصمیم,decision,Das war eine schwere Entscheidung.,این تصمیم سختی بود.,die,die Entscheidungen
Selbstständige,خویش‌فرما / خوداشتغال,self-employed person,Als Selbstständige muss man viel arbeiten.,به عنوان خویش‌فرما باید زیاد کار کرد.,der,die Selbstständigen
vertreten,نمایندگی کردن / جانشین شدن,to represent,Wer vertritt dich im Urlaub?,چه کسی در تعطیلات جانشین تو می‌شود؟,-,(Verb)
Dolmetscher,مترجم شفاهی,interpreter,Der Dolmetscher übersetzt das Gespräch.,مترجم شفاهی گفتگو را ترجمه می‌کند.,der,die Dolmetscher
finanziell,مالی,financial,Es geht mir finanziell gut.,من از نظر مالی حالم خوب است.,-,(Adj)
Grippe,آنفولانزا,flu,Ich habe die Grippe.,من آنفولانزا دارم.,die,die Grippen
Pflaster,چسب زخم,plaster / band-aid,Hast du ein Pflaster?,آیا چسب زخم داری؟,das,die Pflaster
Smiley,شکلک,smiley,Schick mir einen Smiley.,برایم یک شکلک بفرست.,der,die Smileys
Strich,خط,line / dash,Mach einen Strich unter das Wort.,زیر کلمه یک خط بکش.,der,die Striche
Buchstabenzahl,تعداد حروف,number of letters,Die Buchstabenzahl ist begrenzt.,تعداد حروف محدود است.,die,die Buchstabenzahlen
gegeneinander,علیه یکدیگر / در برابر هم,against each other,Die Mannschaften spielen gegeneinander.,تیم‌ها در برابر هم بازی می‌کنند.,-,(Adv)
abwechselnd,به نوبت / متناوب,alternately,Wir fahren abwechselnd.,ما به نوبت رانندگی می‌کنیم.,-,(Adj)
gesund machen,شفا دادن / خوب کردن,to cure / make healthy,Der Arzt wird dich gesund machen.,پزشک تو را خوب خواهد کرد.,-,(Verb)
Visitenkarte,کارت ویزیت,business card,Hier ist meine Visitenkarte.,این کارت ویزیت من است.,die,die Visitenkarten
Aufgabentyp,نوع تکلیف / نوع سوال,task type,Dieser Aufgabentyp ist neu.,این نوع سوال جدید است.,der,die Aufgabentypen
Detail,جزئیات,detail,Erzähl mir alle Details.,همه جزئیات را به من بگو.,das,die Details
Einzugsparty,جشن اسباب‌کشی (ورود به خانه نو),housewarming party,Wann ist deine Einzugsparty?,جشن اسباب‌کشی تو کی هست؟,die,die Einzugspartys
aufnehmen (Kontakt),برقرار کردن (تماس),to establish (contact),Ich möchte Kontakt aufnehmen.,من می‌خواهم تماس برقرار کنم.,-,(Verb)
beziehungsweise (bzw.),یا / به عبارت دیگر,or / respectively,Ich komme heute bzw. morgen.,من امروز یا (به عبارت دیگر) فردا می‌آیم.,-,(Konj)
Prüfende,ممتحن,examiner,Der Prüfende stellt Fragen.,ممتحن سوال می‌پرسد.,der,die Prüfenden
Gesprächspartner,طرف گفتگو,interlocutor,Mein Gesprächspartner war sehr nett.,طرف گفتگوی من خیلی مهربان بود.,der,die Gesprächspartner
Teilnehmer,شرکت‌کننده,participant,Wie viele Teilnehmer gibt es?,چند شرکت‌کننده وجود دارد؟,der,die Teilnehmer
jeweils,هر کدام / به ترتیب,each / respectively,Die Kurse kosten jeweils 100 Euro.,کلاس‌ها هر کدام ۱۰۰ یورو هزینه دارند.,-,(Adv)
Altglas,شیشه بازیافتی,waste glass,Bitte werfen Sie das Altglas in den Container.,لطفاً شیشه‌های بازیافتی را در کانتینر بیندازید.,das,-
Deckel,درب / سرپوش,lid / cover,Mach den Deckel auf den Topf.,درب قابلمه را بگذار.,der,die Deckel
Kochtopf,قابلمه,cooking pot,Der Kochtopf ist heiß.,قابلمه داغ است.,der,die Kochtöpfe
Pfandflasche,بطری گرویی (قابل بازیافت),deposit bottle,Bring die Pfandflaschen zurück.,بطری‌های گرویی را برگردان.,die,die Pfandflaschen
Plastiktüte,کیسه پلاستیکی,plastic bag,Ich brauche keine Plastiktüte.,من کیسه پلاستیکی نیاز ندارم.,die,die Plastiktüten
Stofftasche,کیف پارچه‌ای,cloth bag,Benutze lieber eine Stofftasche.,بهتر است از یک کیف پارچه‌ای استفاده کنی.,die,die Stofftaschen
an sein,روشن بودن,to be on,Das Licht ist an.,چراغ روشن است.,-,(Verb)
Energiesparen,صرفه‌جویی در انرژی,energy saving,Energiesparen ist wichtig für die Umwelt.,صرفه‌جویی در انرژی برای محیط زیست مهم است.,das,-
Umweltschutz,حفاظت از محیط زیست,environmental protection,Jeder kann etwas für den Umweltschutz tun.,هر کس می‌تواند کاری برای حفاظت از محیط زیست انجام دهد.,der,-
abwägen,سنجیدن / سبک‌سنگین کردن,to weigh up,Man muss die Vor- und Nachteile abwägen.,باید مزایا و معایب را سنجید.,-,(Verb)
Biobauer,کشاورز ارگانیک,organic farmer,Der Biobauer verkauft frisches Gemüse.,کشاورز ارگانیک سبزیجات تازه می‌فروشد.,der,die Biobauern
entkräften,بی‌اعتبار کردن (استدلال),to invalidate / refute,Er konnte das Argument nicht entkräften.,او نتوانست استدلال را رد کند.,-,(Verb)
heizen,گرم کردن (خانه),to heat,Im Winter müssen wir heizen.,در زمستان باید خانه را گرم کنیم.,-,(Verb)
anschaffen,خریداری کردن / تهیه کردن,to acquire / purchase,Wir wollen uns ein neues Auto anschaffen.,ما می‌خواهیم یک ماشین نو بخریم.,-,(Verb)
Badewanne,وان حمام,bathtub,Ich entspanne mich gerne in der Badewanne.,من دوست دارم در وان حمام استراحت کنم.,die,die Badewannen
kippen,کج کردن (پنجره) / ریختن,to tilt / tip,Lass das Fenster gekippt.,پنجره را کج (نیمه‌باز) بگذار.,-,(Verb)
kühl,خنک,cool,Es ist heute recht kühl.,امروز هوا نسبتاً خنک است.,-,(Adj)
Kühlgerät,دستگاه خنک‌کننده / یخچال,cooling device,Das Kühlgerät verbraucht viel Strom.,دستگاه خنک‌کننده برق زیادی مصرف می‌کند.,das,die Kühlgeräte
lüften,تهویه کردن / هوا دادن,to ventilate / air,Morgens sollte man lüften.,صبح‌ها باید هوا را تهویه کرد.,-,(Verb)
Pulli,پلیور / ژاکت,pullover / sweater,Zieh einen warmen Pulli an.,یک پلیور گرم بپوش.,der,die Pullis
Sparprogramm,برنامه صرفه‌جویی,economy program,Die Waschmaschine hat ein Sparprogramm.,ماشین لباسشویی یک برنامه صرفه‌جویی دارد.,das,die Sparprogramme
Standby-Modus,حالت آماده‌به‌کار,standby mode,Schalte den Fernseher nicht in den Standby-Modus.,تلویزیون را روی حالت آماده‌به‌کار نگذار.,der,-
Steckdose,پریز برق,socket / outlet,Die Steckdose funktioniert nicht.,پریز برق کار نمی‌کند.,die,die Steckdosen
Stecker,دوشاخه,plug,Zieh den Stecker raus.,دوشاخه را بکش.,der,die Stecker
verzichten (auf),صرف‌نظر کردن از,to do without,Ich kann nicht auf Schokolade verzichten.,من نمی‌توانم از شکلات صرف‌نظر کنم.,-,(Verb)
Vollbad,حمام کامل (در وان),full bath,Ein Vollbad verbraucht viel Wasser.,یک حمام کامل آب زیادی مصرف می‌کند.,das,die Vollbäder
Vorwäsche,پیش‌شستشو,pre-wash,Bei starker Verschmutzung hilft eine Vorwäsche.,برای آلودگی زیاد، پیش‌شستشو کمک می‌کند.,die,die Vorwäschen
Waschmittel,مواد شوینده (لباس),detergent,Wir brauchen neues Waschmittel.,ما به مواد شوینده جدید نیاز داریم.,das,die Waschmittel
behaupten,ادعا کردن,to claim,Er behauptet, er habe es nicht gewusst.,او ادعا می‌کند که نمی‌دانسته است.,-,(Verb)
widersprechen,مخالفت کردن,to contradict,Da muss ich dir widersprechen.,اینجا باید با تو مخالفت کنم.,-,(Verb)
Stromspartipp,نکته صرفه‌جویی برق,energy saving tip,Hast du einen guten Stromspartipp?,آیا نکته خوبی برای صرفه‌جویی برق داری؟,der,die Stromspartipps
Funktion,عملکرد / کارایی,function,Die Funktion ist sehr nützlich.,این عملکرد بسیار مفید است.,die,die Funktionen
Produktion,تولید,production,Die Produktion wurde gestoppt.,تولید متوقف شد.,die,die Produktionen
produzieren,تولید کردن,to produce,Die Fabrik produziert Autos.,کارخانه ماشین تولید می‌کند.,-,(Verb)
schädlich,مضر,harmful,Rauchen ist schädlich für die Gesundheit.,سیگار کشیدن برای سلامتی مضر است.,-,(Adj)
verbieten,ممنوع کردن,to forbid,Rauchen ist hier verboten.,سیگار کشیدن اینجا ممنوع است.,-,(Verb)
kommentieren,نظر دادن / تفسیر کردن,to comment,Bitte kommentieren Sie den Text.,لطفاً در مورد متن نظر دهید.,-,(Verb)
Kursteilnehmende,شرکت‌کننده دوره,course participant,Die Kursteilnehmenden lernen fleißig.,شرکت‌کنندگان دوره با پشتکار یاد می‌گیرند.,der,die Kursteilnehmenden
Nahverkehr,حمل و نقل محلی,local transport,Der Nahverkehr ist gut ausgebaut.,حمل و نقل محلی به خوبی توسعه یافته است.,der,-
Schulfach,درس مدرسه,school subject,Mathe ist mein liebstes Schulfach.,ریاضی درس مورد علاقه من است.,das,die Schulfächer
Wegwerfflasche,بطری یکبار مصرف,disposable bottle,Kauf keine Wegwerfflaschen.,بطری‌های یکبار مصرف نخر.,die,die Wegwerfflaschen
Bauernhof,مزرعه,farm,Wir machen Urlaub auf dem Bauernhof.,ما تعطیلات را در مزرعه می‌گذرانیم.,der,die Bauernhöfe
Huhn,مرغ,chicken / hen,Das Huhn legt ein Ei.,مرغ یک تخم می‌گذارد.,das,die Hühner
Kuh,گاو ماده,cow,Die Kuh gibt Milch.,گاو شیر می‌دهد.,die,die Kühe
Stall,طویله / اصطبل,stable / barn,Die Pferde sind im Stall.,اسب‌ها در اصطبل هستند.,der,die Ställe
Bauer,کشاورز,farmer,Der Bauer arbeitet auf dem Feld.,کشاورز در مزرعه کار می‌کند.,der,die Bauern
Ernte,محصول / برداشت,harvest,Die Ernte war dieses Jahr gut.,برداشت محصول امسال خوب بود.,die,die Ernten
Gras,چمن / علف,grass,Das Gras ist grün.,چمن سبز است.,das,-
Hof,حیاط / مزرعه,courtyard / farm,Die Kinder spielen im Hof.,بچه‌ها در حیاط بازی می‌کنند.,der,die Höfe
Rind,گاو (نر/ماده),cattle / beef,Das Fleisch ist vom Rind.,گوشت از گاو است.,das,die Rinder
Saisonarbeiter,کارگر فصلی,seasonal worker,Im Sommer kommen viele Saisonarbeiter.,در تابستان کارگران فصلی زیادی می‌آیند.,der,die Saisonarbeiter
wöchentlich,هفتگی,weekly,Die Zeitung erscheint wöchentlich.,روزنامه هفتگی منتشر می‌شود.,-,(Adj)
abbauen,برچیدن / استخراج کردن,to dismantle / mine,Das Zelt wird abgebaut.,چادر برچیده می‌شود.,-,(Verb)
anbauen,کشت کردن / کاشتن,to cultivate / grow,Wir bauen Kartoffeln an.,ما سیب‌زمینی می‌کاریم.,-,(Verb)
Erntezeit,زمان برداشت,harvest time,Im Herbst ist Erntezeit.,پاییز زمان برداشت است.,die,die Erntezeiten
Frucht,میوه / ثمره,fruit,Die Frucht schmeckt süß.,میوه شیرین است.,die,die Früchte
Gegend,منطقه / ناحیه,area / region,In dieser Gegend regnet es oft.,در این منطقه اغلب باران می‌بارد.,die,die Gegenden
Getreide,غلات,grain / cereal,Brot wird aus Getreide gemacht.,نان از غلات درست می‌شود.,das,die Getreide
Klassenzeitung,روزنامه کلاس,class newspaper,Wir machen eine Klassenzeitung.,ما یک روزنامه کلاسی درست می‌کنیم.,die,die Klassenzeitungen
mithelfen,کمک کردن (همکاری),to help out,Alle müssen mithelfen.,همه باید کمک کنند.,-,(Verb)
ökologisch,اکولوژیک / زیست‌محیطی,ecological,Ökologischer Anbau ist besser.,کشت اکولوژیک بهتر است.,-,(Adj)
Ökomarkt,بازار محصولات ارگانیک,organic market,Ich kaufe auf dem Ökomarkt ein.,من از بازار محصولات ارگانیک خرید می‌کنیم.,der,die Ökomärkte
Passiv,مجهول (دستور زبان),passive voice,Wir lernen das Passiv.,ما حالت مجهول را یاد می‌گیریم.,das,-
aufbauen,برپا کردن / ساختن,to build up / set up,Wir müssen den Stand aufbauen.,ما باید غرفه را برپا کنیم.,-,(Verb)
Alternative,گزینه جایگزین,alternative,Gibt es eine Alternative?,آیا گزینه جایگزینی وجود دارد؟,die,die Alternativen
anbieten (sich),مناسب بودن / پیشنهاد شدن,to offer oneself / be suitable,Das bietet sich als Lösung an.,این به عنوان راه‌حل مناسب است.,-,(Verb)
Block,بلوک / دفترچه یادداشت,block / notepad,Ich brauche einen Block zum Schreiben.,من یک دفترچه برای نوشتن نیاز دارم.,der,die Blöcke
Coffee to go,قهوه بیرون‌بر,coffee to go,Ein Coffee to go verursacht Müll.,قهوه بیرون‌بر زباله تولید می‌کند.,der,-
Einnahme (Geld),درآمد (پول),revenue / income,Die Einnahmen sind gestiegen.,درآمدها افزایش یافته است.,die,die Einnahmen
enthalten,شامل بودن / حاوی بودن,to contain,Das Produkt enthält Zucker.,این محصول حاوی شکر است.,-,(Verb)
grundsätzlich,اصولاً / اساساً,basically / fundamentally,Ich bin grundsätzlich dagegen.,من اصولاً مخالفم.,-,(Adj)
Leitungswasser,آب لوله‌کشی,tap water,Leitungswasser ist gesund.,آب لوله‌کشی سالم است.,das,-
Mitschüler,همکلاسی,classmate,Mein Mitschüler hilft mir.,همکلاسی‌ام به من کمک می‌کند.,der,die Mitschüler
recyceln,بازیافت کردن,to recycle,Wir sollten Papier recyceln.,ما باید کاغذ را بازیافت کنیم.,-,(Verb)
Restmülleimer,سطل زباله غیربازیافتی,residual waste bin,Das gehört in den Restmülleimer.,این مال سطل زباله غیربازیافتی است.,der,die Restmülleimer
spenden,اهدا کردن,to donate,Er spendet Geld für arme Kinder.,او برای کودکان فقیر پول اهدا می‌کند.,-,(Verb)
Suchmaschine,موتور جستجو,search engine,Google ist eine Suchmaschine.,گوگل یک موتور جستجو است.,die,die Suchmaschinen
Thermoskanne,فلاسک,thermos flask,Der Tee bleibt in der Thermoskanne warm.,چای در فلاسک گرم می‌ماند.,die,die Thermoskannen
transportieren,حمل کردن,to transport,Wie transportieren wir das Sofa?,چطور مبل را حمل کنیم؟,-,(Verb)
Trinkflasche,بطری آب (قمقمه),drinking bottle,Nimm deine Trinkflasche mit zum Sport.,قمقمه‌ات را با خودت به ورزش ببر.,die,die Trinkflaschen
Umweltprojekt,پروژه محیط زیست,environmental project,Wir starten ein Umweltprojekt.,ما یک پروژه محیط زیست را شروع می‌کنیم.,das,die Umweltprojekte
wertvoll,باارزش,valuable,Gold ist wertvoll.,طلا باارزش است.,-,(Adj)
wiederverwerten,بازیافت کردن / استفاده مجدد,to reuse / recycle,Glas kann man wiederverwerten.,شیشه را می‌توان بازیافت کرد.,-,(Verb)
elektrisch,الکتریکی / برقی,electric,Ich habe eine elektrische Zahnbürste.,من یک مسواک برقی دارم.,-,(Adj)
global,جهانی,global,Der Klimawandel ist ein globales Problem.,تغییر اقلیم یک مشکل جهانی است.,-,(Adj)
Klima,آب و هوا / اقلیم,climate,Das Klima verändert sich.,آب و هوا در حال تغییر است.,das,die Klimata
schützen,محافظت کردن,to protect,Wir müssen die Natur schützen.,ما باید از طبیعت محافظت کنیم.,-,(Verb)
Umweltsünde,گناه زیست‌محیطی (کار مضر برای محیط زیست),environmental sin,Plastik im Meer ist eine Umweltsünde.,پلاستیک در دریا یک گناه زیست‌محیطی است.,die,die Umweltsünden
Umweltaktion,اقدام زیست‌محیطی,environmental action,Wir machen bei der Umweltaktion mit.,ما در اقدام زیست‌محیطی شرکت می‌کنیم.,die,die Umweltaktionen
Abfall,زباله / پسماند,waste / rubbish,Wirf den Abfall in den Eimer.,زباله را در سطل بینداز.,der,die Abfälle
Abgas,گاز خروجی (اگزوز),exhaust gas,Autos produzieren Abgase.,ماشین‌ها گازهای خروجی تولید می‌کنند.,das,die Abgase
atmen,نفس کشیدن,to breathe,Ich kann kaum atmen.,من به سختی می‌توانم نفس بکشم.,-,(Verb)
aufheben,برداشتن (از زمین) / نگه داشتن,to pick up / keep,Heb das Papier bitte auf.,لطفاً کاغذ را بردار.,-,(Verb)
benötigen,نیاز داشتن,to need / require,Wir benötigen Ihre Hilfe.,ما به کمک شما نیاز داریم.,-,(Verb)
Biene,زنبور عسل,bee,Die Biene sammelt Honig.,زنبور عسل جمع می‌کند.,die,die Bienen
blühen,شکوفه دادن / گل دادن,to bloom,Die Blumen blühen im Frühling.,گل‌ها در بهار شکوفه می‌دهند.,-,(Verb)
circa,تقریباً / حدود,approximately,Es kostet circa 50 Euro.,این حدود ۵۰ یورو قیمت دارد.,-,(Adv)
Dreck,کثیفی / گل و لای,dirt / filth,Mach den Dreck weg.,کثیفی را پاک کن.,der,-
Gärtner,باغبان,gardener,Der Gärtner schneidet die Hecke.,باغبان پرچین را کوتاه می‌کند.,der,die Gärtner
Gemeinschaft,انجمن / جامعه,community,Wir leben in einer Gemeinschaft.,ما در یک جامعه زندگی می‌کنیم.,die,die Gemeinschaften
Getränkedose,قوطی نوشیدنی,beverage can,Die Getränkedose ist leer.,قوطی نوشیدنی خالی است.,die,die Getränkedosen
Großstadt,کلان‌شهر,big city,Berlin ist eine Großstadt.,برلین یک کلان‌شهر است.,die,die Großstädte
Kleingartenanlage,مجموعه باغچه‌های کوچک,allotment garden area,Mein Opa hat einen Garten in der Kleingartenanlage.,پدربزرگم در مجموعه باغچه‌ها یک باغچه دارد.,die,die Kleingartenanlagen
Müllsammelaktion,اقدام جمع‌آوری زباله,trash collection campaign,Wir organisieren eine Müllsammelaktion.,ما یک اقدام جمع‌آوری زباله سازماندهی می‌کنیم.,die,die Müllsammelaktionen
Mülltüte,کیسه زباله,garbage bag,Die Mülltüte ist voll.,کیسه زباله پر است.,die,die Mülltüten
Pflanzaktion,اقدام کاشت گیاه,planting campaign,Bei der Pflanzaktion setzen wir Bäume.,در اقدام کاشت گیاه ما درخت می‌کاریم.,die,die Pflanzaktionen
Plastikflasche,بطری پلاستیکی,plastic bottle,Kauf keine Plastikflaschen mehr.,دیگر بطری پلاستیکی نخر.,die,die Plastikflaschen
Sonnabend,شنبه (شمال آلمان),Saturday,Am Sonnabend habe ich frei.,روز شنبه تعطیل هستم.,der,die Sonnabende
sonstig,سایر / دیگر,other / miscellaneous,Haben Sie sonstige Fragen?,آیا سوالات دیگری دارید؟,-,(Adj)
Stadtwald,جنگل شهری,city forest,Wir gehen im Stadtwald spazieren.,ما در جنگل شهری قدم می‌زنیم.,der,die Stadtwälder
Waldparkplatz,پارکینگ جنگلی,forest parking lot,Wir parken am Waldparkplatz.,ما در پارکینگ جنگلی پارک می‌کنیم.,der,die Waldparkplätze
Wiese,چمنزار,meadow,Die Kühe stehen auf der Wiese.,گاوها در چمنزار هستند.,die,die Wiesen
Zigarettenkippe,ته سیگار,cigarette butt,Werf keine Zigarettenkippen auf den Boden.,ته سیگار روی زمین نینداز.,die,die Zigarettenkippen
engagieren,متعهد کردن / استخدام کردن,to engage / hire,Wir engagieren uns für den Tierschutz.,ما خود را متعهد به حمایت از حیوانات می‌دانیم.,-,(Verb)
irgendjemand,یک کسی / کسی,someone / anyone,Hat irgendjemand meine Brille gesehen?,آیا کسی عینک مرا دیده است؟,-,(Pron)
sinnlos,بی‌معنی / بیهوده,senseless,Es ist sinnlos, zu streiten.,بحث کردن بیهوده است.,-,(Adj)
Zweifel,شک / تردید,doubt,Ich habe Zweifel an seiner Ehrlichkeit.,من به صداقت او شک دارم.,der,die Zweifel
Absatz,پاشنه / پاراگراف / فروش,heel / paragraph / sales,Der Schuh hat einen hohen Absatz.,کفش پاشنه بلندی دارد.,der,die Absätze
Feuer,آتش,fire,Das Feuer wärmt uns.,آتش ما را گرم می‌کند.,das,die Feuer
FÖJ,سال اکولوژیک داوطلبانه,voluntary ecological year,Sie macht ein FÖJ im Naturschutz.,او یک سال اکولوژیک داوطلبانه در حفاظت از طبیعت می‌گذراند.,das,-
FÖJler,شرکت‌کننده FÖJ,FÖJ participant,Der FÖJler arbeitet im Wald.,شرکت‌کننده FÖJ در جنگل کار می‌کند.,der,die FÖJler
Gift,سم,poison,Vorsicht, das ist Gift!,مراقب باش، این سم است!,das,die Gifte
hacken,خرد کردن / هک کردن,to chop / hack,Er hackt Holz.,او چوب خرد می‌کند.,-,(Verb)
kurz,کوتاه / خلاصه,short / briefly,Kurz gesagt: Ja.,خلاصه بگویم: بله.,-,(Adj)
Mücke,پشه,mosquito,Die Mücke hat mich gestochen.,پشه مرا نیش زد.,die,die Mücken
Muskel,ماهیچه,muscle,Ich habe Muskelkater.,من کوفتگی عضله دارم.,der,die Muskeln
Seminar,سمینار,seminar,Das Seminar war sehr interessant.,سمینار خیلی جالب بود.,das,die Seminare
Spur,ردپا / اثر,track / trace,Wir haben eine Spur gefunden.,ما یک ردپا پیدا کردیم.,die,die Spuren
Umweltschutzprojekt,پروژه حفاظت محیط زیست,environmental protection project,Wir unterstützen das Umweltschutzprojekt.,ما از پروژه حفاظت محیط زیست حمایت می‌کنیم.,das,die Umweltschutzprojekte
Wissenschaftler,دانشمند,scientist,Der Wissenschaftler forscht im Labor.,دانشمند در آزمایشگاه تحقیق می‌کند.,der,die Wissenschaftler
analysieren,تحلیل کردن,to analyze,Wir müssen die Daten analysieren.,ما باید داده‌ها را تحلیل کنیم.,-,(Verb)
aufmerksam,هوشیار / دقیق,attentive,Seien Sie bitte aufmerksam.,لطفاً هوشیار باشید.,-,(Adj)
bisher,تاکنون,so far / until now,Bisher lief alles gut.,تاکنون همه چیز خوب پیش رفته.,-,(Adv)
einzig,تنها / یگانه,only / single,Das ist meine einzige Chance.,این تنها شانس من است.,-,(Adj)
Erde,زمین / خاک,earth / soil,Die Erde dreht sich um die Sonne.,زمین به دور خورشید می‌چرخد.,die,-
Experte,کارشناس,expert,Fragen Sie einen Experten.,از یک کارشناس بپرسید.,der,die Experten
Forschung,پژوهش / تحقیق,research,Die Forschung ist wichtig für den Fortschritt.,پژوهش برای پیشرفت مهم است.,die,die Forschungen
Freiwillige,داوطلب,volunteer,Viele Freiwillige haben geholfen.,داوطلبان زیادی کمک کردند.,der,die Freiwilligen
Insekt,حشره,insect,Ein Käfer ist ein Insekt.,سوسک یک حشره است.,das,die Insekten
Labor,آزمایشگاه,laboratory,Das Experiment findet im Labor statt.,آزمایش در آزمایشگاه انجام می‌شود.,das,die Labore
treu,وفادار,faithful / loyal,Der Hund ist ein treuer Freund.,سگ یک دوست وفادار است.,-,(Adj)
Umweltthema,موضوع زیست‌محیطی,environmental topic,Klimawandel ist ein wichtiges Umweltthema.,تغییر اقلیم یک موضوع زیست‌محیطی مهم است.,das,die Umweltthemen
Umweltverschmutzung,آلودگی محیط زیست,pollution,Die Umweltverschmutzung nimmt zu.,آلودگی محیط زیست رو به افزایش است.,die,die Umweltverschmutzungen
verabschieden (sich),خداحافظی کردن,to say goodbye,Ich muss mich leider verabschieden.,متأسفانه باید خداحافظی کنم.,-,(Verb)
Vortrag,سخنرانی,lecture,Der Vortrag war sehr langweilig.,سخنرانی خیلی کسل‌کننده بود.,der,die Vorträge
wachsen,رشد کردن,to grow,Die Pflanze wächst schnell.,گیاه سریع رشد می‌کند.,-,(Verb)
wahnsinnig,دیوانه‌وار / فوق‌العاده,insane / crazy,Das ist wahnsinnig teuer.,این فوق‌العاده گران است.,-,(Adj)
Waldschule,مدرسه جنگلی,forest school,Die Kinder gehen in die Waldschule.,بچه‌ها به مدرسه جنگلی می‌روند.,die,die Waldschulen
weiterlesen,ادامه دادن خواندن,to continue reading,Lies bitte weiter.,لطفاً ادامه بده (بخوان).,-,(Verb)
wild,وحشی,wild,Hier leben wilde Tiere.,اینجا حیوانات وحشی زندگی می‌کنند.,-,(Adj)
bio,ارگانیک,organic,Ist das Obst bio?,آیا این میوه ارگانیک است؟,-,(Adj)
umweltfreundlich,سازگار با محیط زیست,environmentally friendly,Fahrradfahren ist umweltfreundlich.,دوچرخه‌سواری با محیط زیست سازگار است.,-,(Adj)
Artistik,هنر آکروباتیک,acrobatics,Die Artistik im Zirkus war toll.,هنر آکروباتیک در سیرک عالی بود.,die,-
