Deutsch,Farsi,English,Beispielsatz,Beispielsatz_Farsi,Status,Präposition,Artikel,Plural
Unterrichtstag,روز کلاس / روز درس,day of instruction,Der letzte Unterrichtstag ist Freitag.,آخرین روز کلاس جمعه است.,Neutral,,der,die Unterrichtstage
Unterrichtszeit,زمان کلاس,class time,Die Unterrichtszeit ist von 8 bis 13 Uhr.,زمان کلاس از ساعت ۸ تا ۱۳ است.,Neutral,,die,die Unterrichtszeiten
vorläufig,موقتی / فعلاً,temporary / preliminary,Das ist ein vorläufiges Ergebnis.,این یک نتیجه موقتی است.,Neutral,,-,(Adj/Adv)
zunächst,ابتدا / در آغاز,at first / initially,Zunächst müssen wir planen.,ابتدا باید برنامه‌ریزی کنیم.,Neutral,,-,(Adv)
Phase,مرحله / فاز,phase,Das Projekt ist in der ersten Phase.,پروژه در مرحله اول است.,Neutral,,die,die Phasen
strukturieren,ساختار دادن / سازماندهی کردن,to structure,Bitte strukturieren Sie den Text.,لطفاً متن را ساختار دهید.,Neutral,,-,(Verb)
Jobcenter,مرکز کاریابی,job center,Er hat einen Termin im Jobcenter.,او یک قرار ملاقات در مرکز کاریابی دارد.,Neutral,,das,-
freitags,جمعه‌ها,on Fridays,Freitags arbeite ich nur bis 12 Uhr.,جمعه‌ها من فقط تا ساعت ۱۲ کار می‌کنم.,Neutral,,-,(Adv)
Instrument,ساز / ابزار,instrument,Spielst du ein Instrument?,آیا سازی می‌نوازی؟,Neutral,,das,die Instrumente
mittwochs,چهارشنبه‌ها,on Wednesdays,Mittwochs habe ich frei.,چهارشنبه‌ها من آزاد هستم.,Neutral,,-,(Adv)
motiviert,باانگیزه,motivated,Sie ist sehr motiviert bei der Arbeit.,او در کار بسیار باانگیزه است.,Neutral,,-,(Adj)
Komponist,آهنگساز,composer,Mozart war ein berühmter Komponist.,موتسارت یک آهنگساز مشهور بود.,Neutral,,der,die Komponisten
Musikschüler,هنرجوی موسیقی,music student,Der Musikschüler übt jeden Tag.,هنرجوی موسیقی هر روز تمرین می‌کند.,Neutral,,der,die Musikschüler
Kontrabass,کنترباس,double bass,Der Kontrabass ist ein sehr großes Instrument.,کنترباس یک ساز بسیار بزرگ است.,Neutral,,der,die Kontrabässe
statt,به جای,instead of,Ich nehme Tee statt Kaffee.,من چای را به جای قهوه می‌گیرم.,Neutral,statt + G,,-
abrechnen,حساب کردن / تسویه کردن,to settle up / bill,Wir müssen die Reisekosten abrechnen.,ما باید هزینه‌های سفر را تسویه کنیم.,Neutral,,-,(Verb)
Anbieter,ارائه‌دهنده,provider,Welchen Internet-Anbieter hast du?,کدام ارائه‌دهنده اینترنت را داری؟,Neutral,,der,die Anbieter
ansonsten,وگرنه / در غیر این صورت,otherwise,Beeil dich, ansonsten verpassen wir den Bus.,عجله کن، وگرنه اتوبوس را از دست می‌دهیم.,Neutral,,-,(Adv)
Carsharing-Anbieter,ارائه‌دهنده اشتراک خودرو,carsharing provider,Es gibt viele Carsharing-Anbieter in der Stadt.,ارائه‌دهندگان اشتراک خودرو زیادی در شهر وجود دارند.,Neutral,,der,die Carsharing-Anbieter
Fahrzeug,وسیله نقلیه,vehicle,Das Fahrzeug ist beschädigt.,وسیله نقلیه آسیب دیده است.,Neutral,,das,die Fahrzeuge
herumstehen,بیکار ایستادن / این طرف و آن طرف ایستادن,to stand around,Die Leute standen nur herum und taten nichts.,مردم فقط بیکار ایستاده بودند و کاری نمی‌کردند.,Neutral,,-,(Verb)
Kilometertarif,تعرفه کیلومتری,kilometer rate,Der Kilometertarif ist sehr günstig.,تعرفه کیلومتری بسیار ارزان است.,Neutral,,der,die Kilometertarife
logisch,منطقی,logical,Das ist doch logisch!,این که منطقی است!,Neutral,,-,(Adj)
sozusagen,به اصطلاح / انگار,so to speak,Er ist sozusagen mein Chef.,او به اصطلاح رئیس من است.,Neutral,,-,(Adv)
teilweise,تا حدی / جزئی / بعضی وقت‌ها,partially / partly,Das stimmt teilweise.,این تا حدی درست است.,Neutral,,-,(Adv)
Miethaus,ساختمان اجاره‌ای / آپارتمان,tenement / rental building,Wir wohnen in einem großen Miethaus.,ما در یک ساختمان اجاره‌ای بزرگ زندگی می‌کنیم.,Neutral,,das,die Miethäuser
Tiefgarage,پارکینگ زیرزمینی,underground parking,Das Auto steht in der Tiefgarage.,ماشین در پارکینگ زیرزمینی است.,Neutral,,die,die Tiefgaragen
Carsharing,اشتراک خودرو,carsharing,Carsharing ist umweltfreundlich und praktisch.,اشتراک خودرو دوستدار محیط زیست و کاربردی است.,Neutral,,das,-
Teilthema,موضوع فرعی,subtopic,Wir besprechen heute nur ein Teilthema.,ما امروز فقط یک موضوع فرعی را بررسی می‌کنیم.,Neutral,,das,die Teilthemen
Aufmerksamkeit,توجه,attention,Vielen Dank für Ihre Aufmerksamkeit.,از توجه شما بسیار سپاسگزارم.,Neutral,,die,-
lauten,بودن (متن) / حاکی بودن,to read / sound (be worded),Die Antwort lautet "Nein".,پاسخ "نه" است.,Neutral,,-,(Verb)
Rückmeldung,بازخورد,feedback,Geben Sie mir bitte eine Rückmeldung.,لطفاً به من بازخورد بدهید.,Neutral,,die,die Rückmeldungen
erben,ارث بردن,to inherit,Er hat das Haus von seiner Tante geerbt.,او خانه را از خاله‌اش ارث برد.,Neutral,,-,(Verb)
Säule,ستون,pillar / column,Die Säule trägt das Dach.,ستون سقف را نگه می‌دارد.,Neutral,,die,die Säulen
Weltstadt,کلان‌شهر جهانی,metropolis / cosmopolitan city,London ist eine Weltstadt.,لندن یک کلان‌شهر جهانی است.,Neutral,,die,die Weltstädte
kunsthistorisch,مربوط به تاریخ هنر,art historical,Das Gebäude ist kunsthistorisch interessant.,ساختمان از نظر تاریخ هنر جالب است.,Neutral,,-,(Adj)
Kunstwerk,اثر هنری,artwork,Das Bild ist ein echtes Kunstwerk.,تصویر یک اثر هنری واقعی است.,Neutral,,das,die Kunstwerke
Moschee,مسجد,mosque,Wir besuchen eine Moschee.,ما از یک مسجد بازدید می‌کنیم.,Neutral,,die,die Moscheen
Naschmarkt,ناش‌مارکت (بازاری در وین),Naschmarkt (market in Vienna),Der Naschmarkt ist ein berühmter Markt in Wien.,ناش‌مارکت بازاری مشهور در وین است.,Neutral,,der,die Naschmärkte
touristisch,توریستی / گردشگری,tourist / touristy,Die Stadt ist sehr touristisch.,شهر بسیار توریستی است.,Neutral,,-,(Adj)
Besichtigungsplan,برنامه بازدید,sightseeing plan,Wir machen einen Besichtigungsplan für die Reise.,ما برای سفر یک برنامه بازدید درست می‌کنیم.,Neutral,,der,die Besichtigungspläne
Bremerhaven,برمرهافن (نام شهر),Bremerhaven,Bremerhaven liegt an der Nordsee.,برمرهافن در کنار دریای شمال واقع شده است.,Neutral,,das,-
Denkmal,بنای یادبود,monument,Das Denkmal erinnert an den Krieg.,بنای یادبود جنگ را یادآوری می‌کند.,Neutral,,das,die Denkmäler
Dialekt,لهجه / گویش,dialect,Er spricht einen starken Dialekt.,او با لهجه غلیظی صحبت می‌کند.,Neutral,,der,die Dialekte
Stadtführer,راهنمای شهر (کتاب یا شخص),city guide,Der Stadtführer zeigt uns die Sehenswürdigkeiten.,راهنمای شهر دیدنی‌ها را به ما نشان می‌دهد.,Neutral,,der,die Stadtführer
Stadtmusikant,نوازنده شهر (اشاره به افسانه برمن),town musician,Die Bremer Stadtmusikanten sind bekannt.,نوازندگان شهر برمن معروف هستند.,Neutral,,der,die Stadtmusikanten
Urlaubsplan,برنامه تعطیلات,vacation plan,Unser Urlaubsplan steht noch nicht fest.,برنامه تعطیلات ما هنوز قطعی نیست.,Neutral,,der,die Urlaubspläne
Veranstaltungshinweis,آگهی رویداد / نکته درباره مراسم,event notice,Hier ist ein wichtiger Veranstaltungshinweis.,اینجا یک نکته مهم درباره رویداد است.,Neutral,,der,die Veranstaltungshinweise
alltäglich,روزمره / عادی,everyday / common,Das sind alltägliche Probleme.,این‌ها مشکلات روزمره هستند.,Neutral,,-,(Adj)
auskennen (sich),آشنا بودن / بلد بودن,to be familiar with,Ich kenne mich hier gut aus.,من اینجا را خوب بلدم.,Neutral,mit + D,,-
desto,همانقدر (در مقایسه: هرچه ... آنقدر ...),the (more),Je schneller, desto besser.,هر چه سریع‌تر، همانقدر (آنقدر) بهتر.,Neutral,,-,(Konj)
diesmal,این دفعه / این بار,this time,Diesmal machen wir es anders.,این بار ما جور دیگری انجامش می‌دهیم.,Neutral,,-,(Adv)
Hostel,هاستل / مسافرخانه جوانان,hostel,Wir übernachten in einem günstigen Hostel.,ما در یک هاستل ارزان اقامت می‌کنیم.,Neutral,,das,die Hostels
je,هر چه (در مقایسه: هرچه ... آنقدر ...),the (more),Je mehr du lernst, desto besser.,هر چه بیشتر یاد بگیری، بهتر است.,Neutral,,-,(Konj)
Juli,ژوئیه (تیر/مرداد),July,Im Juli fahren wir in den Urlaub.,در ماه ژوئیه ما به تعطیلات می‌رویم.,Neutral,,der,-
Kaffeehaus,قهوه‌خانه / کافه سنتی,coffee house,Wien ist berühmt für seine Kaffeehäuser.,وین به خاطر قهوه‌خانه‌هایش معروف است.,Neutral,,das,die Kaffeehäuser
professionell,حرفه‌ای,professional,Sie arbeitet sehr professionell.,او بسیار حرفه‌ای کار می‌کند.,Neutral,,-,(Adj)
sodass,طوری که / به طوری که,so that,Es regnete, sodass wir nass wurden.,باران می‌بارید، طوری که خیس شدیم.,Neutral,,-,(Konj)
tagsüber,در طول روز,during the day,Tagsüber bin ich im Büro.,در طول روز من در دفتر هستم.,Neutral,,-,(Adv)
tatsächlich,واقعاً / در واقع,actually / indeed,Das ist tatsächlich wahr.,این واقعاً حقیقت دارد.,Neutral,,-,(Adj/Adv)
Wirtschaftsdeutsch,آلمانی تجاری,business German,Ich lerne Wirtschaftsdeutsch für meinen Job.,من برای شغلم آلمانی تجاری یاد می‌گیرم.,Neutral,,das,-
freinehmen (sich),مرخصی گرفتن,to take time off,Ich nehme mir morgen frei.,من فردا مرخصی می‌گیرم.,Neutral,,-,(Verb)
Inversion,وارونگی (نحوی),inversion,Bei einer Frage passiert oft eine Inversion.,در سوال اغلب وارونگی رخ می‌دهد.,Neutral,,die,die Inversionen
Satzverbindung,اتصال جملات,sentence connection,Achten Sie auf die korrekte Satzverbindung.,به اتصال صحیح جملات دقت کنید.,Neutral,,die,die Satzverbindungen
Oper,اپرا,opera,Wir gehen heute Abend in die Oper.,ما امشب به اپرا می‌رویم.,Neutral,,die,die Opern
Akademietheater,تئاتر آکادمی (در وین),Academy Theater,Das Akademietheater ist in Wien.,تئاتر آکادمی در وین است.,Neutral,,das,-
Ananas,آناناس,pineapple,Die Ananas ist süß.,آناناس شیرین است.,Neutral,,die,die Ananas/Ananasse
Cineast,سینما دوست,film enthusiast,Er ist ein echter Cineast.,او یک سینما دوست واقعی است.,Neutral,,der,die Cineasten
digitalisieren,دیجیتالی کردن,to digitize,Wir müssen die Akten digitalisieren.,ما باید پرونده‌ها را دیجیتالی کنیم.,Neutral,,-,(Verb)
Donau,دانوب (رود),Danube,Die Donau fließt durch Wien.,رود دانوب از وین می‌گذرد.,Neutral,,die,-
drehen (sich),چرخیدن,to turn / spin,Das Riesenrad dreht sich.,چرخ و فلک می‌چرخد.,Neutral,,-,(Verb)
exotisch,عجیب و غریب / اگزوتیک,exotic,Ich mag exotische Früchte.,من میوه‌های عجیب و غریب دوست دارم.,Neutral,,-,(Adj)
Gastfreundlichkeit,مهمان‌نوازی,hospitality,Die Gastfreundlichkeit war großartig.,مهمان‌نوازی عالی بود.,Neutral,,die,-
hochmodern,فوق مدرن,ultra-modern,Das Gebäude ist hochmodern.,ساختمان فوق مدرن است.,Neutral,,-,(Adj)
Hofreitschule,مدرسه سوارکاری (وین),riding school,Wir besuchen die Spanische Hofreitschule.,ما از مدرسه سوارکاری اسپانیایی بازدید می‌کنیم.,Neutral,,die,die Hofreitschulen
irgendetwas,چیزی / یک چیزی,something / anything,Hast du irgendetwas gehört?,آیا چیزی شنیدی؟,Neutral,,-,(Pron)
irgendwo,جایی / یک جایی,somewhere,Mein Schlüssel muss irgendwo sein.,کلیدم باید یک جایی باشد.,Neutral,,-,(Adv)
Jahrmarkt,شهربازی موقت / بازار مکاره,fair / carnival,Am Wochenende ist Jahrmarkt.,آخر هفته شهربازی برپا است.,Neutral,,der,die Jahrmärkte
Literatur,ادبیات,literature,Ich interessiere mich für deutsche Literatur.,من به ادبیات آلمانی علاقه‌مندم.,Neutral,,die,-
Museumsort,محل موزه,museum location,Berlin ist ein wichtiger Museumsort.,برلین محل مهمی برای موزه‌ها است.,Neutral,,der,die Museumsorte
nostalgisch,نوستالژیک / خاطره‌انگیز,nostalgic,Die Musik macht mich nostalgisch.,موسیقی مرا نوستالژیک می‌کند.,Neutral,,-,(Adj)
Oase,واحه,oasis,Der Park ist eine Oase der Ruhe.,پارک واحه‌ای از آرامش است.,Neutral,,die,die Oasen
Paradeiser,گوجه فرنگی (اتریشی),tomato (Austrian),In Wien sagt man Paradeiser zur Tomate.,در وین به گوجه فرنگی پارادایزر می‌گویند.,Neutral,,der,die Paradeiser
Reitkunst,هنر سوارکاری,art of riding,Die Reitkunst hat Tradition.,هنر سوارکاری سنت دارد.,Neutral,,die,die Reitkünste
Saal,سالن / تالار,hall,Der Saal war voll besetzt.,سالن کاملاً پر بود.,Neutral,,der,die Säle
spanisch,اسپانیایی,Spanish,Ich lerne Spanisch.,من اسپانیایی یاد می‌گیرم.,Neutral,,-,(Adj)
Top-Unterhaltung,سرگرمی عالی,top entertainment,Das war Top-Unterhaltung.,آن سرگرمی عالی بود.,Neutral,,die,-
unverändert,بدون تغییر,unchanged,Die Situation ist unverändert.,وضعیت بدون تغییر است.,Neutral,,-,(Adj)
Vorführung,نمایش / اجرا,demonstration / performance,Die Vorführung beginnt um 20 Uhr.,نمایش ساعت ۲۰ شروع می‌شود.,Neutral,,die,die Vorführungen
Wahrzeichen,نماد (شهر),landmark,Der Eiffelturm ist das Wahrzeichen von Paris.,برج ایفل نماد پاریس است.,Neutral,,das,-
arabisch,عربی,Arabic,Er spricht Arabisch.,او عربی صحبت می‌کند.,Neutral,,-,(Adj)
Sonntagnachmittag,یکشنبه بعدازظهر,Sunday afternoon,Am Sonntagnachmittag ruhe ich mich aus.,یکشنبه بعدازظهر استراحت می‌کنیم.,Neutral,,der,die Sonntagnachmittage
berücksichtigen,در نظر گرفتن,to consider / take into account,Bitte berücksichtigen Sie meine Wünsche.,لطفاً خواسته‌های مرا در نظر بگیرید.,Neutral,,-,(Verb)
Besichtigung,بازدید,sightseeing / visit,Die Besichtigung dauert zwei Stunden.,بازدید دو ساعت طول می‌کشد.,Neutral,,die,die Besichtigungen
Tierpark,باغ وحش,zoo / animal park,Wir gehen in den Tierpark.,ما به باغ وحش می‌رویم.,Neutral,,der,die Tierparks
Backware,نان و شیرینی,baked goods,Hier gibt es frische Backwaren.,اینجا نان و شیرینی تازه موجود است.,Neutral,,die,die Backwaren
Balkan,بالکان,Balkans,Er kommt vom Balkan.,او اهل بالکان است.,Neutral,,der,-
Bauernstand,طبقه دهقان / کشاورزان,peasantry,Der Bauernstand war früher sehr groß.,طبقه دهقان قبلاً بسیار بزرگ بود.,Neutral,,der,die Bauernstände
Fladenbrot,نان تافتون / نان پهن,flatbread,Dazu essen wir Fladenbrot.,با آن نان تافتون می‌خوریم.,Neutral,,das,die Fladenbrote
Flair,حال و هوا / جو,flair / atmosphere,Das Café hat ein besonderes Flair.,کافه حال و هوای خاصی دارد.,Neutral,,das,-
griechisch,یونانی,Greek,Wir gehen griechisch essen.,ما می‌رویم غذای یونانی بخوریم.,Neutral,,-,(Adj)
historisch,تاریخی,historical,Das ist ein historisches Gebäude.,این یک ساختمان تاریخی است.,Neutral,,-,(Adj)
Imbissstand,دکه اغذیه‌فروشی,snack stand,Ich hole mir eine Wurst am Imbissstand.,من از دکه اغذیه‌فروشی یک سوسیس می‌گیرم.,Neutral,,der,die Imbissstände
Lebensmittel,مواد غذایی,food / groceries,Wir brauchen Lebensmittel für die Woche.,ما برای هفته مواد غذایی نیاز داریم.,Neutral,,das,die Lebensmittel
marokkanisch,مراکشی,Moroccan,Ich mag marokkanischen Tee.,من چای مراکشی دوست دارم.,Neutral,,-,(Adj)
permanent,دائمی / همیشگی,permanent,Der Lärm ist permanent.,سر و صدا دائمی است.,Neutral,,-,(Adj)
Ziegenfleisch,گوشت بز,goat meat,Hast du schon mal Ziegenfleisch gegessen?,آیا تا به حال گوشت بز خورده‌ای؟,Neutral,,das,-
her (sein),از جایی بودن / آمدن,to come from,Wo ist das her?,این از کجا آمده است؟ (اهل کجاست؟),Neutral,von ... her,-,(Adv)
Papaya,پاپایا,papaya,Die Papaya kommt aus den Tropen.,پاپایا از مناطق گرمسیری می‌آید.,Neutral,,die,die Papayas
Armbanduhr,ساعت مچی,wristwatch,Deine Armbanduhr ist schick.,ساعت مچی تو شیک است.,Neutral,,die,die Armbanduhren
mexikanisch,مکزیکی,Mexican,Wir kochen heute mexikanisch.,ما امروز غذای مکزیکی می‌پزیم.,Neutral,,-,(Adj)
Mittagstisch,منوی ناهار,lunch menu,Das Restaurant bietet einen günstigen Mittagstisch.,رستوران منوی ناهار ارزانی ارائه می‌دهد.,Neutral,,der,die Mittagstische
Pfannkuchen,پنکیک,pancake,Kinder lieben Pfannkuchen.,بچه‌ها عاشق پنکیک هستند.,Neutral,,der,die Pfannkuchen
entlang,در امتداد,along,Wir gehen den Fluss entlang.,ما در امتداد رودخانه می‌رویم.,Neutral,,-,(Präp/Adv)
Tram,تراموا,tram,Ich fahre mit der Tram zur Arbeit.,من با تراموا به سر کار می‌روم.,Neutral,,die,die Trams
herum,دور / اطراف,around,Die Kinder laufen um den Baum herum.,بچه‌ها دور درخت می‌دوند.,Neutral,,-,-
Burgring,رینگ (خیابانی در وین),Burgring (Vienna),Das Museum liegt am Burgring.,موزه در خیابان بورگ‌رینگ قرار دارد.,Neutral,,der,die Burgringe
naturhistorisch,مربوط به تاریخ طبیعی,natural historical,Wir besuchen das naturhistorische Museum.,ما از موزه تاریخ طبیعی بازدید می‌کنیم.,Neutral,,-,(Adj)
abhängen,بستگی داشتن / وابسته بودن,to depend on,Das hängt vom Wetter ab.,این به آب و هوا بستگی دارد.,Neutral,von + D,,-
ägyptisch-österreichisch,مصری-اتریشی,Egyptian-Austrian,Er hat die ägyptisch-österreichische Staatsbürgerschaft.,او تابعیت مصری-اتریشی دارد.,Neutral,,-,(Adj)
annehmen,پذیرفتن / قبول کردن,to accept / adopt,Er hat die Staatsbürgerschaft angenommen.,او تابعیت را پذیرفت.,Neutral,,-,(Verb)
beschränken (sich),محدود کردن (خود),to limit oneself,Ich beschränke mich auf das Wesentliche.,من خودم را به موارد ضروری محدود می‌کنیم.,Neutral,auf + A,,-
bleiben (unter sich),بین خود ماندن,to keep to oneself,Die Gruppe blieb unter sich.,گروه بین خودشان ماندند (با دیگران قاطی نشدند).,Neutral,,-,(Verb)
Elternteil,یکی از والدین,parent (one of),Ein Elternteil muss unterschreiben.,یکی از والدین باید امضا کند.,Neutral,,der,die Elternteile
entweder,یا,either,Entweder wir gehen jetzt oder nie.,یا الان می‌رویم یا هرگز.,Neutral,,-,(Konj)
Export,صادرات,export,Der Export von Waren ist gestiegen.,صادرات کالا افزایش یافته است.,Neutral,,der,die Exporte
Fachfrau,کارشناس زن / متخصص,specialist (female),Sie ist eine Fachfrau auf diesem Gebiet.,او در این زمینه متخصص است.,Neutral,,die,die Fachfrauen
handeln,عمل کردن / تجارت کردن,to act / trade,Wir müssen sofort handeln.,ما باید فوراً عمل کنیم.,Neutral,,-,(Verb)
Handelsschule,مدرسه بازرگانی,commercial school,Er besucht die Handelsschule.,او به مدرسه بازرگانی می‌رود.,Neutral,,die,die Handelsschulen
Hauptschule,مدرسه هاپت‌شوله (نوعی مدرسه متوسطه),secondary modern school,Nach der Grundschule ging er auf die Hauptschule.,بعد از دبستان او به مدرسه هاپت‌شوله رفت.,Neutral,,die,die Hauptschulen
jedoch,اما / با این حال,however,Er wollte kommen, war jedoch krank.,او می‌خواست بیاید، اما بیمار بود.,Neutral,,-,(Konj)
klarkommen,کنار آمدن / از پس کاری برآمدن,to cope / get along,Ich muss mit zwei Kulturen klarkommen.,من باید با دو فرهنگ کنار بیایم.,Neutral,mit + D,,-
Migrationshintergrund,پیشینه مهاجرتی,migration background,Viele Menschen haben einen Migrationshintergrund.,بسیاری از مردم پیشینه مهاجرتی دارند.,Neutral,,der,die Migrationshintergründe
Mittelpunkt,مرکز / کانون,center / focal point,Sie steht gerne im Mittelpunkt.,او دوست دارد در کانون توجه باشد.,Neutral,,der,die Mittelpunkte
Nachwuchs,فرزندان / نسل جوان,offspring / young talent,Der Nachwuchs entwickelt sich gut.,نسل جوان به خوبی رشد می‌کند.,Neutral,,der,-
raus,بیرون,out,Geh raus an die frische Luft!,برو بیرون در هوای تازه!,Neutral,,-,(Adv)
Staatsbürgerschaft,تابعیت / شهروندی,citizenship,Sie hat die deutsche Staatsbürgerschaft beantragt.,او درخواست تابعیت آلمانی کرده است.,Neutral,,die,die Staatsbürgerschaften
tausend,هزار,thousand,Das kostet tausend Euro.,این هزار یورو قیمت دارد.,Neutral,,-,(Zahl)
zu tun haben mit,سر و کار داشتن با / ربط داشتن,to have to do with,Das hat nichts mit dir zu tun.,این ربطی به تو ندارد.,Neutral,mit + D,,-
umgehen,رفتار کردن / برخورد کردن,to handle / deal with,Er kann gut mit Stress umgehen.,او می‌تواند به خوبی با استرس کنار بیاید.,Neutral,mit + D,,-
unter (sich),بین / میان (خود),among,Wir bleiben heute unter uns.,ما امروز بین خودمان می‌مانیم.,Neutral,,-,(Präp)
verurteilen,محکوم کردن,to condemn / sentence,Man sollte niemanden vorschnell verurteilen.,نباید کسی را عجولانه قضاوت (محکوم) کرد.,Neutral,,-,(Verb)
warmherzig,خونگرم / مهربان,warm-hearted,Sie ist eine sehr warmherzige Person.,او فردی بسیار خونگرم است.,Neutral,,-,(Adj)
Kairo,قاهره,Cairo,Kairo ist die Hauptstadt von Ägypten.,قاهره پایتخت مصر است.,Neutral,,das,-
brav,حرف‌شنو / مؤدب,well-behaved / good,Das Kind war sehr brav.,کودک بسیار حرف‌شنو بود.,Neutral,,-,(Adj)
Wortschatzarbeit,کار روی لغات,vocabulary work,Wortschatzarbeit ist wichtig beim Lernen.,کار روی لغات در یادگیری مهم است.,Neutral,,die,-
Musikstil,سبک موسیقی,music style,Welchen Musikstil magst du?,چه سبک موسیقی را دوست داری؟,Neutral,,der,die Musikstile
Depp,احمق / نادان (توهین‌آمیز),idiot / fool,Sei kein Depp!,احمق نباش!,Neutral,,der,die Deppen
drüben,آن طرف,over there,Da drüben ist der Bahnhof.,آن طرف ایستگاه قطار است.,Neutral,,-,(Adv)
Erdäpfelsalat,سالاد سیب‌زمینی (اتریشی),potato salad (Austrian),Der Erdäpfelsalat schmeckt lecker.,سالاد سیب‌زمینی خوشمزه است.,Neutral,,der,die Erdäpfelsalate
fad,بی‌مزه / کسل‌کننده,bland / boring,Die Suppe schmeckt fad.,سوپ بی‌مزه است.,Neutral,,-,(Adj)
Fleischlaberl,کوفته گوشت (اتریشی),meatball (Austrian),Oma macht die besten Fleischlaberl.,مادربزرگ بهترین کوفته‌ها را درست می‌کند.,Neutral,,das,die Fleischlaberl
leiwand,عالی / باحال (گویش وینی),great / cool (Viennese),Das Konzert war leiwand.,کنسرت عالی (باحال) بود.,Neutral,,-,(Adj)
Melange,ملانژ (نوعی قهوه وینی),Melange (coffee),Ich trinke gerne eine Melange.,من دوست دارم یک قهوه ملانژ بنوشم.,Neutral,,die,-
Schlagobers,خامه زده شده (اتریشی),whipped cream (Austrian),Kuchen mit Schlagobers ist eine Sünde wert.,کیک با خامه ارزش گناه کردن دارد.,Neutral,,das,-
Senf,خردل,mustard,Ich esse Wurst mit Senf.,من سوسیس را با خردل می‌خورم.,Neutral,,der,die Senfe
woll'n,خواستن (محاوره),want (colloquial),Wir woll'n Spaß haben.,ما می‌خواهیم خوش بگذرانیم.,Neutral,,-,(Verb)
Dialektwort,کلمه گویشی / لهجه‌دار,dialect word,Kennst du dieses Dialektwort?,آیا این کلمه گویشی را می‌شناسی؟,Neutral,,das,die Dialektwörter
ein wenig,کمی / یک مقدار,a little,Ich spreche ein wenig Spanisch.,من کمی اسپانیایی صحبت می‌کنم.,Neutral,,-,(Phrase)
gewürzt,ادویه‌دار,spiced / seasoned,Das Essen ist stark gewürzt.,غذا پرادویه است.,Neutral,,-,(Adj)
Mokka,موکا (قهوه غلیظ),mocha,Ein doppelter Mokka, bitte.,یک موکای دبل، لطفاً.,Neutral,,der,die Mokkas
Schlagsahne,خامه زده شده,whipped cream,Erdbeeren mit Schlagsahne schmecken gut.,توت فرنگی با خامه خوشمزه است.,Neutral,,die,-
Standarddeutsch,آلمانی معیار,standard German,In der Schule lernen wir Standarddeutsch.,در مدرسه ما آلمانی معیار یاد می‌گیریم.,Neutral,,das,-
Bahnsteig,سکوی قطار,platform,Der Zug fährt am Bahnsteig 3 ab.,قطار از سکوی ۳ حرکت می‌کند.,Neutral,,der,die Bahnsteige
Ferne,دوردست / فاصله دور,distance,In der Ferne sehe ich Berge.,در دوردست کوه‌ها را می‌بینم.,Neutral,,die,die Fernen
hassen,متنفر بودن,to hate,Ich hasse es, zu warten.,من از منتظر ماندن متنفرم.,Neutral,,-,(Verb)
wienerisch,وینی (مربوط به وین),Viennese,Er spricht wienerisch.,او با لهجه وینی صحبت می‌کند.,Neutral,,-,(Adj)
Kaffeehausgespräch,گفتگوی قهوه‌خانه‌ای,coffee house conversation,Wir hatten ein langes Kaffeehausgespräch.,ما یک گفتگوی طولانی در قهوه‌خانه داشتیم.,Neutral,,das,die Kaffeehausgespräche
zu viert,چهار نفری,group of four,Wir reisen zu viert.,ما چهار نفری سفر می‌کنیم.,Neutral,,-,(Adv)
zusammenstellen,گردآوری کردن / تنظیم کردن,to compile / put together,Können Sie die Unterlagen zusammenstellen?,می‌توانید مدارک را گردآوری کنید؟,Neutral,,-,(Verb)
Demokratie,دموکراسی,democracy,Die Demokratie muss geschützt werden.,از دموکراسی باید محافظت شود.,Neutral,,die,die Demokratien
einbürgern,تابعیت دادن,to naturalize,Er möchte sich einbürgern lassen.,او می‌خواهد تابعیت بگیرد.,Neutral,,-,(Verb)
Stift,قلم / خودکار,pen,Hast du einen Stift für mich?,آیا یک خودکار برای من داری؟,Neutral,,der,die Stifte
humorvoll,شوخ‌طبع,humorous,Sie ist sehr humorvoll.,او بسیار شوخ‌طبع است.,Neutral,,-,(Adj)
EU-Bürger,شهروند اتحادیه اروپا,EU citizen,Als EU-Bürger darf er hier arbeiten.,به عنوان شهروند اتحادیه اروپا او اجازه دارد اینجا کار کند.,Neutral,,der,die EU-Bürger
Einbürgerungsfeier,جشن اعطای تابعیت,naturalization ceremony,Die Einbürgerungsfeier war sehr schön.,جشن اعطای تابعیت خیلی زیبا بود.,Neutral,,die,die Einbürgerungsfeiern
Einbürgerungswunsch,تمایل به تابعیت,desire for naturalization,Sein Einbürgerungswunsch ist groß.,تمایل او به تابعیت زیاد است.,Neutral,,der,die Einbürgerungswünsche
Ausländer,خارجی,foreigner,Es leben viele Ausländer in der Stadt.,خارجی‌های زیادی در شهر زندگی می‌کنند.,Neutral,,der,die Ausländer
Ausnahme,استثنا,exception,Wir machen heute eine Ausnahme.,ما امروز یک استثنا قائل می‌شویم.,Neutral,,die,die Ausnahmen
besitzen,مالک بودن / داشتن,to own / possess,Er besitzt zwei Häuser.,او مالک دو خانه است.,Neutral,,-,(Verb)
brasilianisch,برزیلی,Brazilian,Ich liebe brasilianische Musik.,من عاشق موسیقی برزیلی هستم.,Neutral,,-,(Adj)
